SANGER SAMPLE ID	SUPPLIER SAMPLE NAME	Organ	Sequencing	Passed	AnnatomicalPart
FCAImmP7292944	F29_BM_TOT	boneMarrow	VDJT	TRUE	Femur
FCAImmP7292028	F29_LI_TOT	liver	5GEX	TRUE	Random
FCAImmP7292029	F29_SP_TOT	spleen	5GEX	TRUE	Whole
FCAImmP7292030	F29_TH_TOT	thymus	5GEX	TRUE	Whole
FCAImmP7292031	F29_BM_TOT	boneMarrow	5GEX	TRUE	Femur
FCAImmP7277560	F30_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7277561	F30_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7277562	F30_SP_CD45P	spleen	normal	TRUE	Whole
FCAImmP7277563	F30_SP_CD45N	spleen	normal	TRUE	Whole
FCAImmP7277564	F30_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7277565	F30_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7277566	F30_BM_CD45P	boneMarrow	normal	TRUE	Femur
FCAImmP7277567	F30_BM_CD45N	boneMarrow	normal	TRUE	Femur
FCAImmP7292940	F30_LI_TOT	liver	VDJT	TRUE	Random
FCAImmP7292945	F30_SP_TOT	spleen	VDJT	TRUE	Whole
FCAImmP7292946	F30_TH_TOT	thymus	VDJT	TRUE	Whole
FCAImmP7292947	F30_BM_TOT	boneMarrow	VDJT	TRUE	Femur
FCAImmP7292032	F30_LI_TOT	liver	5GEX	TRUE	Random
FCAImmP7292033	F30_SP_TOT	spleen	5GEX	TRUE	Whole
FCAImmP7292034	F30_TH_TOT	thymus	5GEX	TRUE	Whole
FCAImmP7292035	F30_BM_TOT	boneMarrow	5GEX	TRUE	Femur
FCAImmP7316894	F32_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7316895	F32_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7316896	F32_SK_CD45P	skin	normal	TRUE	Random
FCAImmP7316897	F32_SK_CD45N	skin	normal	TRUE	Random
FCAImmP7316898	F32_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7316899	F32_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7316900	F32_YS_TOT	yolk_sac	normal	TRUE	Membrane
FCAImmP7316901	F32_LI_CD45P	liver	5GEX	TRUE	Random
FCAImmP7352189	F34_SK_CD45P_1	skin	normal	TRUE	Random
FCAImmP7352190	F34_SK_CD45N_1	skin	normal	TRUE	Random
FCAImmP7352191	F34_SK_CD45N_2	skin	normal	TRUE	Random
FCAImmP7352192	F34_LI_CD45P_1	liver	normal	TRUE	Random
FCAImmP7352193	F34_LI_CD45P_2	liver	normal	TRUE	Random
FCAImmP7352194	F34_LI_CD45N_1	liver	normal	TRUE	Random
FCAImmP7352195	F34_LI_CD45N_2	liver	normal	TRUE	Random
FCAImmP7352196	F34_LI_CD45P	liver	5GEX	TRUE	Random
FCAImmP7462237	F35_LI_CD45P_1	liver	normal	TRUE	Random
FCAImmP7462238	F35_LI_CD45P_2	liver	normal	TRUE	Random
FCAImmP7462239	F35_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7462240	F35_SK_CD45P	skin	normal	TRUE	Random
FCAImmP7462241	F35_SK_CD45N	skin	normal	TRUE	Random
FCAImmP7462242	F35_KI_CD45P	kidney	normal	TRUE	Whole
FCAImmP7462243	F35_KI_CD45N	kidney	normal	TRUE	Whole
FCAImmP7462244	F35_YS_TOT	yolk_sac	normal	TRUE	Membrane
4834STDY7002871	F15_s_CD45P	skin	normal	FALSE	Random
4834STDY7002872	F15_s_CD45N	skin	normal	FALSE	Random
4834STDY7002873	F15_k_CD45P	kidney	normal	FALSE	Whole
4834STDY7002874	F15_k_CD45N	kidney	normal	FALSE	Whole
4834STDY7002875	F16_k_CD45P	kidney	normal	TRUE	Whole
4834STDY7002876	F16_k_CD45N	kidney	normal	TRUE	Whole
4834STDY7002877	F16_l_CD45P	liver	normal	TRUE	Random
4834STDY7002878	F16_l_CD45N	liver	normal	TRUE	Random
4834STDY7002879	F16_s_CD45P	skin	normal	TRUE	Random
4834STDY7002880	F16_s_CD45N	skin	normal	TRUE	Random
4834STDY7002881	F17_k_TOT	kidney	normal	TRUE	Whole
4834STDY7002882	F17_l_TOT	liver	normal	TRUE	Random
4834STDY7002883	F17_s_TOT	skin	normal	TRUE	Random
4834STDY7002885	F17_k_CD45P	kidney	normal	TRUE	Whole
4834STDY7002886	F17_k_CD45N	kidney	normal	TRUE	Whole
4834STDY7038750	F17_l_CD45P	liver	normal	TRUE	Random
4834STDY7038751	F17_l_CD45N	liver	normal	TRUE	Random
4834STDY7038752	F17_s_CD45P	skin	normal	TRUE	Random
4834STDY7038753	F17_s_CD45N	skin	normal	TRUE	Random
FCAImmP7316886	F33_s_CD45P_1	skin	normal	TRUE	Random
FCAImmP7316887	F33_s_CD45P_2	skin	normal	TRUE	Random
FCAImmP7316888	F33_s_CD45N	skin	normal	TRUE	Random
FCAImmP7316889	F33_l_CD45P_1	liver	normal	TRUE	Random
FCAImmP7316890	F33_l_CD45P_2	liver	normal	TRUE	Random
FCAImmP7316891	F33_l_CD45P_3	liver	normal	TRUE	Random
FCAImmP7316892	F33_l_CD45N_1	liver	normal	TRUE	Random
FCAImmP7316893	F33_l_CD45N_2	liver	normal	TRUE	Random
FCAImmP7504909	F37_YS_TOT_1	yolk_sac	normal	TRUE	Contents
FCAImmP7504910	F37_YS_TOT_2	yolk_sac	normal	TRUE	Contents
FCAImmP7504911	F37_YS_TOT_3	yolk_sac	normal	TRUE	Membrane
FCAImmP7504912	F37_YS_TOT_4	yolk_sac	normal	TRUE	Membrane
FCAImmP7504913	F37_YS_TOT_5	yolk_sac	normal	TRUE	Membrane
FCAImmP7528279	F38_SP_CD45P	spleen	normal	TRUE	whole
FCAImmP7528280	F38_SP_CD45N	spleen	normal	TRUE	whole
FCAImmP7528281	F38_BM_CD45P	boneMarrow	normal	TRUE	femur
FCAImmP7528282	F38_BM_CD45N	boneMarrow	normal	TRUE	femur
FCAImmP7528283	F38_TH_CD45P	thymus	normal	TRUE	whole
FCAImmP7528284	F38_TH_CD45N_1	thymus	normal	TRUE	whole
FCAImmP7528285	F38_TH_CD45N_2	thymus	normal	TRUE	whole
FCAImmP7528286	F38_LI_CD45P_1	liver	normal	TRUE	Random
FCAImmP7528287	F38_LI_CD45P_2	liver	normal	TRUE	Random
FCAImmP7528288	F38_LI_CD45N_1	liver	normal	TRUE	Random
FCAImmP7528289	F38_LI_CD45N_2	liver	normal	TRUE	Random
FCAImmP7528290	F38_SK_CD45P	skin	normal	TRUE	Random
FCAImmP7528291	F38_SK_CD45N	skin	normal	TRUE	Random
FCAImmP7528292	F38_KI_CD45P	kidney	normal	TRUE	Whole
FCAImmP7528293	F38_KI_CD45N	kidney	normal	TRUE	Whole
FCAImmP7528295	F38_LI_5GEX	liver	5GEX	TRUE	Random
FCAImmP7528294	F38_TH_5GEX	thymus	5GEX	TRUE	whole
FCAImmP7528296	F38_SK_5GEX	skin	5GEX	TRUE	Random
FCAImmP7555846	F41_LI_CD45P	liver	normal	TRUE	Random
FCAImmP7555847	F41_LI_CD45N	liver	normal	TRUE	Random
FCAImmP7555848	F41_SK_CD45N	skin	normal	TRUE	Random
FCAImmP7555849	F41_KI_CD45P	kidney	normal	TRUE	whole
FCAImmP7555850	F41_KI_CD45N	kidney	normal	TRUE	Whole
FCAImmP7555851	F41_TH_CD45P	thymus	normal	TRUE	Whole
FCAImmP7555852	F41_TH_CD45N	thymus	normal	TRUE	Whole
FCAImmP7555853	F41_BM_CD45P	boneMarrow	normal	TRUE	femur
FCAImmP7555854	F41_BM_CD45N	boneMarrow	normal	TRUE	femur
FCAImmP7555855	F41_BM_CD45N_5GEX	boneMarrow	5GEX	TRUE	femur
FCAImmP7555856	F41_LI_CD45P_5GEX	liver	5GEX	TRUE	Random
FCAImmP7555857	F41_LI_CD45N_5GEX	liver	5GEX	TRUE	Random
FCAImmP7555858	F41_SK_CD45P_5GEX	skin	5GEX	TRUE	Random
FCAImmP7555859	F41_KI_CD45P_5GEX	kidney	5GEX	TRUE	Whole
FCAImmP7555860	F41_TH_CD45P_5GEX	thymus	5GEX	TRUE	Whole
FCAImmP7555861	F41_TH_CD45N_5GEX	thymus	5GEX	TRUE	Whole
FCAImmP7555862	F41_BM_CD45P_5GEX	boneMarrow	5GEX	TRUE	femur
FCAImmP7579224	F45_SK_45P_5GEX	skin	5GEX	TRUE	Random
FCAImmP7579225	F45_KI_45N_5GEX	kidney	5GEX	TRUE	Whole
FCAImmP7579226	F45_LI_45P_5GEX	liver	5GEX	TRUE	Random
FCAImmP7579227	F45_LI_45N_5GEX	liver	5GEX	TRUE	Random
FCAImmP7579228	F45_SP_45P_5GEX	spleen	5GEX	TRUE	Whole
FCAImmP7579229	F45_SP_45N_5GEX	spleen	5GEX	TRUE	Whole
FCAImmP7579230	F45_TH_45P_5GEX	thymus	5GEX	TRUE	Whole
FCAImmP7579231	F45_TH_45N_5GEX	thymus	5GEX	TRUE	Whole
FCAImmP7579232	F45_BM_45P_5GEX	boneMarrow	5GEX	TRUE	Femur
FCAImmP7579233	F45_BM_45N_5GEX	boneMarrow	5GEX	TRUE	Femur
FCAImmP7579210	F45_LI_CD45P_1	liver	normal	TRUE	random
FCAImmP7579211	F45_LI_CD45N_1	liver	normal	TRUE	random
FCAImmP7579212	F45_SK_CD45P	skin	normal	TRUE	random
FCAImmP7579213	F45_SK_CD45N	skin	normal	TRUE	random
FCAImmP7579214	F45_KI_CD45P	kidney	normal	TRUE	whole
FCAImmP7579215	F45_KI_CD45N	kidney	normal	TRUE	whole
FCAImmP7579216	F45_SP_CD45P	spleen	normal	TRUE	whole
FCAImmP7579217	F45_SP_CD45N	spleen	normal	TRUE	whole
FCAImmP7579218	F45_TH_CD45P	thymus	normal	TRUE	whole
FCAImmP7579219	F45_TH_CD45N	thymus	normal	TRUE	whole
FCAImmP7579220	F45_BM_CD45P	boneMarrow	normal	TRUE	femur
FCAImmP7579221	F45_BM_CD45N	boneMarrow	normal	TRUE	femur
FCAImmP7579222	F45_LI_CD45P_2	liver	normal	TRUE	random
FCAImmP7579223	F45_LI_CD45N_2	liver	normal	TRUE	random
